1,WHISKY JW RED LABEL,ML,750,43391,0
2,GASEOSA DE LIMA,ML,350,2500,0
3,LIMÓN TAHITÍ,GR,500,3500,0
4,GIN GORDON'S LONDON DRY,ML,750,59237,0
5,AGUA TONICA,ML,330,1800,0
6,BOTLL SMIRNOFF X1,ML,750,27417,0
7,BLACK & WHITE,ML,700,39043,0
8,OLD PARR,ML,750,90348
9,CERVEZA DORADA,ML,330,2900
10,HAIG	ML,750,69900
11,NARANJA,GR,500,2500

